,Name,Subitems,Clicks,Impressions,CTR,Position
99,Name,Subitems,Clicks,Impressions,CTR,Position
100,15/03/23,,1,359,0.47,65.9
101,02/10/23,,0,0,0,0
102,21/12/23,,0,0,0,0
103,09/02/24,,0,0,0,0
