,Name,Subitems,Clicks,Impressions,CTR,Position
163,Name,Subitems,Clicks,Impressions,CTR,Position
164,15/03/23,,2,547,0.37,38.87
165,02/10/23,,9,833,1.1,38.8
166,21/12/23,,0,653,0,43.3
167,09/02/24,,5,396,1.3,35.8
