,Name,Subitems,Clicks,Impressions,CTR,Position
91,Name,Subitems,Clicks,Impressions,CTR,Position
92,15/03/23,,0,80,0,82.08
93,02/10/23,,0,38,0,41.9
94,21/12/23,,0,24,0,33
95,09/02/24,,1,8,12.5,34.6
