,Name,Subitems,Clicks,Impressions,CTR,Position
123,Name,Subitems,Clicks,Impressions,CTR,Position
124,15/03/23,,0,12,0,68.33
125,02/10/23,,0,25,0,67
126,21/12/23,,0,17,0,79.9
127,09/02/24,,0,20,0,87.3
