,Name,Subitems,Clicks,Impressions,CTR,Position
11,Name,Subitems,Clicks,Impressions,CTR,Position
12,15/03/23,,2,850,0.24,55.23
13,02/10/23,,13,1047,1.2,41.7
14,21/12/23,,2,703,0.3,54.4
15,09/02/24,,3,417,0.7,51
