,Name,Subitems,Clicks,Impressions,CTR,Position
187,Name,Subitems,Clicks,Impressions,CTR,Position
188,15/03/23,,1,212,0.47,65.9
189,02/10/23,,0,1,0,83
190,21/12/23,,0,17,0,72.6
191,09/02/24,,0,38,0,80.6
