,Name,Subitems,Clicks,Impressions,CTR,Position
35,Name,Subitems,Clicks,Impressions,CTR,Position
36,15/03/23,,0,296,0,61.69
37,02/10/23,,3,243,1.2,33.7
38,21/12/23,,0,184,0,38.3
39,09/02/24,,0,116,0,31.8
