,Name,Subitems,Clicks,Impressions,CTR,Position
83,Name,Subitems,Clicks,Impressions,CTR,Position
84,15/03/23,,1,64,1.56,9.16
85,02/10/23,,5,81,6.2,8.9
86,21/12/23,,0,56,0,9
87,09/02/24,,3,30,10,9.8
